wellid,layer,tops,bottom,types,salinaty
TZ10-H2,S,4255,4261.82,NaSO4,19030
TZ10-H2,S,4874.55,4885.37,NaSO4,5518
TZ111,S,4480,4485,CaCl2,84130
TZ111,S,4480,4485,CaCl2,81560
TZ111,S,4488,4489.5,CaCl2,80680
TZ111,S,4488,4489.5,CaCl2,82760
TZ111,S,4470,4478,CaCl2,87710
TZ111,S,4480,4485,CaCl2,90520
TZ111,S,4480,4485,CaCl2,89310
TZ111,S,4470,4478,CaCl2,90690
TZ111,S,4480,4485,CaCl2,89460
TZ111,S,4499,4500,CaCl2,76600
TZ111,S,4470,4478,CaCl2,89690
TZ111,S,4470,4478,CaCl2,89400
TZ111,S,4480,4485,CaCl2,90100
TZ111,S,4480,4485,CaCl2,90420
TZ111,S,4488,4489.5,CaCl2,82120
TZ111,S,4480,4485,CaCl2,82080
TZ111,S,4488,4489.5,CaCl2,82410
TZ111,S,4470,4478,CaCl2,88270
TZ111,S,4480,4485,CaCl2,89960
TZ111,S,4499,4500,CaCl2,75230
TZ111,S,4480,4485,CaCl2,82350
TZ111,S,4488,4489.5,CaCl2,79990
TZ111,S,4488,4489.5,CaCl2,82930
TZ111,S,4480,4485,CaCl2,82920
TZ111,S,4480,4485,CaCl2,82670
TZ111,S,4480,4485,CaCl2,90120
TZ111,S,4480,4485,CaCl2,89450
TZ111,S,4499,4500,CaCl2,77180
TZ111,S,4480,4485,CaCl2,90080
TZ111,S,4480,4485,CaCl2,89740
TZ111,S,4480,4485,CaCl2,90030
TZ111,S,4477.36,4488.74,CaCl2,85880
TZ111,S,4477.36,4488.74,CaCl2,86910
TZ111,S,4494.34,4503.74,CaCl2,77040
TZ111,S,4495.86,4502.83,CaCl2,84740
TZ111,S,4477.36,4488.74,CaCl2,86160
TZ111,S,4494.34,4503.74,CaCl2,80860
TZ111,S,,,CaCl2,63610
TZ111,S,4494.34,4503.74,CaCl2,78270
TZ111,S,4494.34,4503.74,CaCl2,78840
TZ111,S,4495.86,4502.83,CaCl2,83740
TZ111,S,4477.36,4488.74,CaCl2,51600
TZ111,S,4495.86,4502.83,CaCl2,83200
TZ111,S,4495.86,4502.83,CaCl2,83550
