wellid,layer,tops,bottom,mid,salinaty,x,y,area,types,zone
TZ10-H2,S,4255,4261.82,4258.41,19030,4360942.4,14668479.4,TZ11,NaSO4,S1K1
TZ10-H2,S,4874.55,4885.37,4879.96,5518,4360942.4,14668479.4,TZ11,NaSO4,S1K3
TZ111,S,4480,4485,4482.5,84130,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,81560,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4488,4489.5,4488.75,80680,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4488,4489.5,4488.75,82760,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4470,4478,4474,87710,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,90520,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,89310,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4470,4478,4474,90690,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,89460,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4499,4500,4499.5,76600,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4470,4478,4474,89690,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4470,4478,4474,89400,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,90100,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,90420,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4488,4489.5,4488.75,82120,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,82080,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4488,4489.5,4488.75,82410,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4470,4478,4474,88270,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,89960,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4499,4500,4499.5,75230,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,82350,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4488,4489.5,4488.75,79990,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4488,4489.5,4488.75,82930,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,82920,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,82670,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,90120,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,89450,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4499,4500,4499.5,77180,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,90080,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,89740,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4480,4485,4482.5,90030,4356761.2,14689755.8,TZ11,CaCl2,S1K3
TZ111,S,4477.36,4488.74,4483.05,85880,4356761.2,14689755.8,TZ11,CaCl2,S1K3
