Well,Thickiness,Por,K,Cal,Md,LLD,GR,AC,DEN,RMN,RMG,ILD,GRmax,GRmin,RMNmax,SPmax,DGR,Ceil,Middle,Floor,Vsh,SP,Min,Max,Ave
well1,1.42,18.91666667,14.055,8.95,0.1325,15.7,68.4,274,2.34,3.49,5.17,9.77,120,50,2.5,55,0.262857143,62.93117829,50.93117829,37.12537567,32.75268,35.4992,32.75268,50.93117829,45.7522808
well1,1,20.1,5.03,,,11.85,85.9,269,2.35,6.72,7.89,7.19,120,50,2.5,55,0.512857143,88.43152829,76.43152829,64.90444353,23.232,31.176,23.232,76.43152829,61.2660698
well1,1.34,22.1,3.86,0.35,0.096,10.58,74.5,263,2.36,5.04,6.59,9.19,120,50,2.5,55,0.35,70.34165,58.34165,44.572725,36.62165333,39.8224,36.62165333,58.34165,52.14572567
well1,1.6,22.91111111,106.0111111,0.233333333,0.142333333,18.71,67,276.3,2.24,7.33,9.29,13.48,120,50,2.5,55,0.242857143,61.45361429,49.45361429,35.75371224,32.58864889,43.528,32.58864889,49.45361429,45.48805978
well1,1.32,23.15714286,145.5428571,1.9,0.1685,26.28,57.6,286,2.203,8.28,10.47,14.1,120,50,2.5,55,0.108571429,53.69085257,41.69085257,29.80773649,32.08378667,44.7632,32.08378667,44.7632,40.07667413
well1,0.8,23.3,129.25,0.3,0.157,18.2,72.7,283,2.25,4.39,7.11,11.38,120,50,2.5,55,0.324285714,67.99042314,55.99042314,42.12631341,29.51429333,37.9696,29.51429333,55.99042314,48.89311487
well1,0.66,23.05,227.65625,0.3,0.164333333,27.04,60.9,281,2.24,4.4,6.98,13.68,120,50,2.5,55,0.155714286,55.98817114,43.98817114,31.24799455,29.59483556,40.44,29.59483556,43.98817114,40.75468691
well1,0.58,20.5,23.8225,15.65,0.157,16.7,0.5,253,2.37,4.13,5.95,13.68,120,50,2.5,55,0.01,50.383446,38.383446,29.058933,32.94716,34.8816,32.94716,38.383446,36.9460042
well1,1.24,23.2,264.8166667,0.4,0.198,21.5,64.2,252,2.31,4.26,6.08,16.4,120,50,2.5,55,0.202857143,58.74847029,46.74847029,33.38845739,30.525,45.3808,30.525,46.74847029,43.3670092
well1,1.6,24.77142857,744.8571429,0.45,0.1905,27.8,54.3,286,2.189,7.5,10.1,15.9,120,50,2.5,55,0.061428571,51.85651457,39.85651457,29.0676832,32.87644,45.9984,32.87644,45.9984,39.0746882
well1,1.16,21.48,45.996,1.1,0.142,20.35,64.6,282,2.24,4.67,6.59,19.75,120,50,2.5,55,0.208571429,59.11451257,47.11451257,33.69548792,37.49386667,45.3808,37.49386667,47.11451257,45.01701213
well1,1.22,23.325,246.75,2.3,0.209,22.8,57.1,278,2.202,3.49,5.82,16.95,120,50,2.5,55,0.101428571,53.38316257,41.38316257,29.65059863,29.54965333,51.5568,29.54965333,51.5568,40.03382447
well1,1.28,23.84444444,294.5111111,0.266666667,0.192333333,20.9,58,281,2.175,6.93,9.18,15.9,120,50,2.5,55,0.114285714,53.94465714,41.94465714,29.94502041,30.44347556,50.9392,30.44347556,50.9392,40.54387511
well1,1.14,23.12857143,509.4285714,0.25,0.207,24.8,50,281.9,2.202,3.36,5.43,17.47,120,50,2.5,55,0.01,50.383446,38.383446,29.058933,29.9062,47.2336,29.9062,47.2336,37.5730122
well1,1.36,19.1,310.36,7.25,0.1825,15.8,73.1,259.7,2.356,6.85,8.02,15.4,120,50,2.5,55,0.33,68.501014,56.501014,42.651957,35.01277333,42.2928,35.01277333,56.501014,50.78254447
well1,1.72,23.45,545.0666667,0.45,0.196,19.2,66.1,233,2.43,3.62,5.56,14.5,120,50,2.5,55,0.23,60.547754,48.547754,34.938477,31.09370667,43.528,31.09370667,48.547754,44.55496913
well1,1.42,26.175,1101.75,0.5,0.21,22.1,51.9,280.5,2.17,3.62,5.56,12.87,120,50,2.5,55,0.027142857,50.81324829,38.81324829,28.96926067,29.88557333,53.4096,29.88557333,53.4096,38.48734847
well1,1.32,24.17272727,430.3636364,0.6,0.1965,14.1,56.6,291.6,2.184,6.21,8.27,10.76,120,50,2.5,55,0.094285714,53.08610114,41.08610114,29.50953527,30.61929333,58.3504,30.61929333,58.3504,40.71916947
well1,0.84,21.73333333,290,0.6,0.206,15.7,67.1,276,2.267,5.04,6.98,11.38,120,50,2.5,55,0.244285714,61.55639114,49.55639114,35.84750884,25.30645333,53.4096,25.30645333,53.4096,45.09172447
well3,0.62,18.625,9.5,5.6,0.058333333,8.9,75.9,303,2.32,7.5,7.5,5.77,120,47,1.5,20,0.395890411,74.87997968,62.87997968,49.4562961,56.37414222,28.088,28.088,62.87997968,58.09961422
well3,1.05,17.98,6.4,0.55,0.0375,8.9,80.5,288,2.36,7.03,7.03,6.47,120,47,1.5,20,0.45890411,81.82650882,69.82650882,57.24313708,63.1888,27.71744,27.71744,69.82650882,64.28806017
well3,1.33,19.28,8.2,0.966666667,0.037,7.5,86.4,311.6,2.31,5.78,5.78,6.14,120,47,1.5,20,0.539726027,91.94705483,79.94705483,69.06190437,68.425616,26.29696,26.29696,79.94705483,72.27775758
well3,0.5,26.06666667,59,0.8,0.104666667,15.5,69.4,325,2.16,12.6,12.6,7.64,120,47,1.5,20,0.306849315,66.47446729,54.47446729,40.58596968,38.49769778,25,25,54.47446729,48.33166666
well3,0.63,27.2,67,1.4,0.098,25.99,61.3,344.7,2.19,14.6,16.7,14.5,120,47,1.5,20,0.195890411,58.3114016,46.3114016,33.02804952,39.8954,25,25,46.3114016,42.89706112
well3,0.32,24.825,39,1,0.104,25.4,63.6,347,2.14,15.5,15.5,18.9,120,47,1.5,20,0.22739726,60.36856709,48.36856709,34.7797833,42.51302222,25,25,48.36856709,44.8606014
well3,0.3,18.3,58.66666667,8.5,0.091,31.7,53.9,249,2.19,17.3,17.3,17.01,120,47,1.5,20,0.094520548,53.09569857,41.09569857,29.51391741,52.41578667,25,25,52.41578667,41.75014634
well3,0.6,17.72,25.8,,0.10175,15.5,71.3,282,2.319,10.7,10.7,7.05,120,47,1.5,20,0.332876712,68.76063222,56.76063222,42.92047211,43.56842,25,25,56.76063222,50.94612655
well3,0.5,14.925,9.25,5.35,0.06825,8.4,80.58,276,2.45,8.79,8.79,7.05,120,47,1.5,20,0.46,81.954636,69.954636,57.389628,49.28937333,25,25,69.954636,61.32611987
well3,0.58,22.23333333,9.5,4.233333333,0.070666667,8.95,78.7,293,2.31,3.58,4.52,6.47,120,47,1.5,20,0.434246575,79.00979052,67.00979052,54.04712545,51.57500444,33.0288,33.0288,67.00979052,60.52473426
