Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ12,4253.65,6.0,7.64901265293676,7.178797333333324,9.949,1.665,10.706,0.526,2.603,63.198,6.763,1.071,S1K1,,5.0,1.0
TZ12,4255.13,14.2,11.68798468869796,12.844508666666671,10.042,2.3680000000000003,9.04,0.293,2.48,69.971,13.07,4.354,S1K1,,5.0,1.0
TZ12,4255.31,14.2,12.085481139225218,10.396471966666667,10.061,2.391,9.667,1.7930000000000001,2.48,72.126,13.014000000000001,3.028,S1K1,,5.0,1.0
TZ12,4255.76,12.5,10.82615095162049,12.382236666666703,10.027999999999999,1.558,6.393,1.8090000000000002,2.528,69.543,10.235,4.438,S1K1,,5.0,1.0
TZ12,4257.61,5.8,7.941245331886614,6.242680999999888,9.855,2.114,8.465,2.135,2.6,63.994,6.8260000000000005,2.9539999999999997,S1K1,,5.0,1.0
TZ12,4258.16,11.4,9.091779393674003,10.623449333333332,9.914,2.06,8.439,2.365,2.588,68.262,9.142000000000001,1.112,S1K1,,5.0,1.0
TZ12,4258.61,11.8,10.719316861719507,11.252566666666652,9.914,1.939,7.622999999999999,2.113,2.542,69.863,11.072000000000001,2.3040000000000003,S1K1,,5.0,1.0
TZ12,4259.41,10.4,11.16762882371298,9.929057777777778,9.882,2.55,8.898,2.171,2.488,70.051,12.175,1.275,S1K1,,5.0,1.0
TZ12,4260.61,11.0,11.998770131497633,11.3189800888889,9.698,1.4969999999999999,9.372,0.892,2.479,68.97399999999999,10.988,7.729,S1K1,,5.0,1.0
TZ12,4341.4,8.5,11.929301625511474,9.694313199999996,9.765,1.7,9.113,0.21,2.476,69.199,9.311,1.51,S1K1,,,1.0
TZ12,4342.05,4.7,8.692794138103885,6.0702493333334235,9.92,1.589,13.418,-0.693,2.6289999999999996,66.127,8.927,0.191,S1K1,,,1.0
TZ12,4377.005999999999,5.928999999999999,8.368779906264148,7.468017117460365,9.946,2.889,11.632,3.2060000000000004,2.583,66.637,9.33,1.861,S1K3,,5.0,1.0
TZ12,4378.436,15.892000000000001,12.623487547990589,10.3043844,12.282,1.7919999999999998,9.18,2.033,2.52,75.691,20.453,2.7239999999999998,S1K3,,5.0,1.0
TZ12,4378.585999999999,8.305,12.369049961027516,11.102035946031751,10.14,1.7519999999999998,9.072000000000001,1.922,2.513,75.528,14.689,4.281000000000001,S1K3,,5.0,1.0
TZ12,4379.446,9.248,9.695971016989382,9.879835999999994,9.713,2.2230000000000003,9.383,2.405,2.53,67.538,12.034,3.911,S1K3,,5.0,1.0
TZ12,4379.965999999999,4.087,11.230186123120331,6.794498166666704,9.779,2.051,7.768,2.041,2.549,74.189,13.038,3.005,S1K3,,5.0,1.0
TZ12,4380.076,11.674000000000001,12.636630472546768,10.297377944444445,10.031,1.983,7.143,1.849,2.516,78.032,12.034,4.544,S1K3,,5.0,1.0
TZ12,4380.6759999999995,7.777,7.247213007768869,7.864639999999996,9.636000000000001,2.008,8.083,3.661,2.562,62.102,10.720999999999998,2.821,S1K3,,5.0,1.0
TZ12,4380.8859999999995,6.605,6.823795901302091,6.232309095238155,9.628,1.77,7.155,2.885,2.6069999999999998,61.276,11.562000000000001,1.5330000000000001,S1K3,,5.0,1.0
TZ12,4381.335999999999,7.218999999999999,8.956575872151191,9.531078666666668,9.625,1.79,7.9910000000000005,3.35,2.555,66.566,12.001,3.275,S1K3,,5.0,1.0
TZ12,4382.066,10.565999999999999,10.961516186237827,10.528515333333333,9.656,1.7009999999999998,13.052,4.098,2.512,73.393,12.474,3.136,S1K3,,5.0,1.0
TZ12,4382.276,8.814,10.193436152620196,9.534356000000002,9.677999999999999,1.804,13.583,4.27,2.517,72.52600000000001,10.58,2.637,S1K3,,5.0,1.0
TZ12,4382.776,10.520999999999999,8.01932484293183,10.155267333333333,9.672,1.861,10.742,3.617,2.583,68.757,10.718,1.006,S1K3,,5.0,1.0
TZ12,4383.026,11.827,9.723371249338499,11.294781999999984,9.686,1.775,9.945,3.083,2.532,69.997,12.777000000000001,1.837,S1K3,,5.0,1.0
TZ12,4383.576,15.489,11.577235884688562,14.975421333333285,9.623,1.824,8.168,1.3719999999999999,2.5180000000000002,72.132,12.913,5.045,S1K3,,5.0,1.0
TZ12,4383.876,14.593,11.554177841715179,14.468329277777773,9.597999999999999,1.903,8.456,1.271,2.516,72.282,11.873,5.54,S1K3,,5.0,1.0
TZ12,4384.116,8.276,10.327937819621395,9.853973333333343,9.586,1.9380000000000002,8.852,1.35,2.549,70.208,8.677,4.9910000000000005,S1K3,,1.0,1.0
TZ12,4384.626,5.379,7.352794636846932,5.67209173968264,9.517999999999999,2.231,9.088,1.695,2.5980000000000003,64.73100000000001,8.96,0.961,S1K3,,1.0,3.0
TZ12,4384.9259999999995,11.274000000000001,10.2000750001398,11.80991266666667,9.48,2.3609999999999998,5.797999999999999,2.022,2.499,68.066,11.639000000000001,5.82,S1K3,,1.0,3.0
TZ12,4385.126,14.867,11.701073640790865,14.588812666666588,9.57,2.343,6.426,2.158,2.455,71.118,12.315999999999999,10.544,S1K3,,5.0,3.0
TZ12,4385.306,13.331,10.845422784354284,10.579301333333332,9.67,2.242,8.378,2.487,2.474,70.87100000000001,10.446,5.611000000000001,S1K3,,5.0,3.0
TZ12,4388.736,9.544,12.76257417702967,11.396465453968258,9.331,2.085,9.612,2.5789999999999997,2.395,73.998,15.953,4.23,S1K3,,5.0,3.0
TZ12,4388.916,7.07,10.307402052140972,8.226189333333364,9.565,1.778,8.298,2.061,2.454,70.485,9.517999999999999,1.847,S1K3,,5.0,3.0
TZ12,4389.146,5.412000000000001,7.071421547976891,5.744893000000067,9.297,1.854,8.003,2.0069999999999997,2.596,64.16199999999999,4.806,1.641,S1K3,,5.0,3.0
TZ12,4390.266,8.766,10.667139002134638,12.313484000000022,9.305,1.454,5.843999999999999,0.47,2.519,68.687,8.562000000000001,30.648000000000003,S1K3,,3.0,3.0
TZ12,4390.666,15.298,11.661318018778994,12.287097422222246,9.302,1.5219999999999998,6.476,0.9229999999999999,2.46,70.157,10.016,28.875999999999998,S1K3,,3.0,3.0
TZ12,4390.916,15.194,10.957848658336722,12.244820666666689,9.288,1.565,6.904,1.229,2.501,69.538,9.265,18.958,S1K3,,3.0,3.0
TZ12,4391.045999999999,14.954,10.844995788854217,13.73639266666667,9.304,1.54,6.855,1.218,2.521,70.507,8.406,12.92,S1K3,,5.0,3.0
TZ12,4391.6359999999995,8.166,8.968213780895667,8.70684800000002,9.25,1.785,7.979,1.6769999999999998,2.4930000000000003,65.688,7.4639999999999995,6.808,S1K3,,5.0,3.0
