Well,Depth,Pore,GR,SP,CAL,K,TH,U,DEN,AC,CN,PERM,STA,Lithcore,Lithdebris,Faces
TZ12,4253.65,6.0,8.212732698242583,8.632555999999997,9.949,1.665,10.706,0.526,2.603,63.198,6.763,1.071,S1K1,,5.0,1.0
TZ12,4255.13,14.2,11.076343141161889,12.765518,10.042,2.3680000000000003,9.04,0.293,2.48,69.971,13.07,4.354,S1K1,,5.0,1.0
TZ12,4255.31,14.2,11.648965908569721,9.811786666666666,10.061,2.391,9.667,1.7930000000000001,2.48,72.126,13.014000000000001,3.028,S1K1,,5.0,1.0
TZ12,4255.76,12.5,11.058240494743591,12.440456666666703,10.027999999999999,1.558,6.393,1.8090000000000002,2.528,69.543,10.235,4.438,S1K1,,5.0,1.0
TZ12,4257.61,5.8,8.693835774841627,6.522584666666564,9.855,2.114,8.465,2.135,2.6,63.994,6.8260000000000005,2.9539999999999997,S1K1,,5.0,1.0
TZ12,4258.16,11.4,9.624565586970819,11.03453866666668,9.914,2.06,8.439,2.365,2.588,68.262,9.142000000000001,1.112,S1K1,,5.0,1.0
TZ12,4258.61,11.8,10.887089268581576,11.359399333333318,9.914,1.939,7.622999999999999,2.113,2.542,69.863,11.072000000000001,2.3040000000000003,S1K1,,5.0,1.0
TZ12,4259.41,10.4,10.562736231324784,9.516419333333344,9.882,2.55,8.898,2.171,2.488,70.051,12.175,1.275,S1K1,,5.0,1.0
TZ12,4260.61,11.0,11.722861504645602,11.388996666666676,9.698,1.4969999999999999,9.372,0.892,2.479,68.97399999999999,10.988,7.729,S1K1,,5.0,1.0
TZ12,4341.4,8.5,11.922928536756245,9.365521666666668,9.765,1.7,9.113,0.21,2.476,69.199,9.311,1.51,S1K1,,,1.0
TZ12,4342.05,4.7,9.469183753108616,6.749424000000058,9.92,1.589,13.418,-0.693,2.6289999999999996,66.127,8.927,0.191,S1K1,,,1.0
